Player,year_born,Cluster 1,VORP 1,WS 1,Cluster 2,VORP 2,WS 2,Cluster 3,VORP 3,WS 3,Cluster 4,VORP 4,WS 4,Cluster 5,VORP 5,WS 5,Cluster 6,VORP 6,WS 6,Cluster 7,VORP 7,WS 7,Cluster 8,VORP 8,WS 8,Cluster 9,VORP 9,WS 9,Cluster 10,VORP 10,WS 10,Cluster 11,VORP 11,WS 11,Cluster 12,VORP 12,WS 12,Cluster 13,VORP 13,WS 13,Cluster 14,VORP 14,WS 14,Cluster 15,VORP 15,WS 15,Cluster 16,VORP 16,WS 16,Cluster 17,VORP 17,WS 17,Cluster 18,VORP 18,WS 18,Cluster 19,VORP 19,WS 19,Cluster 20,VORP 20,WS 20,Cluster 21,VORP 21,WS 21
Andrew Bogut,1984,4,2.3,5.5,4,1.4,4.0,6,2.2,4.8,4,1.0,2.6,6,3.0,7.5,6,2.6,5.4,0,0.2,0.5,0,0.9,1.7,4,2.8,6.5,4,2.4,5.2,4,2.4,5.4,0,0.3,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles Smith,1975,,,,,,,,,,,,,,,,,,,,,,,,,7,0.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Landry,1985,3,-0.3,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ricky Ledo,1992,7,0.0,0.0,7,-0.4,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demetris Nichols,1984,3,-0.1,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eddie Gill,1978,,,,,,,,,,7,0.0,0.3,7,0.2,1.1,7,0.0,0.1,,,,7,0.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vin Baker,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.3,1.6,4,0.2,2.8,3,-0.3,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeremy Richardson,1984,,,,7,-0.3,-0.1,3,-0.3,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russ Smith,1991,7,-0.1,-0.1,7,0.0,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hasheem Thabeet,1987,0,0.4,2.0,0,-0.2,0.3,0,-0.2,0.3,0,0.5,2.2,0,-0.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jahidi White,1976,,,,,,,,,,,,,0,-0.1,0.6,0,-0.6,1.2,3,-0.2,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Williams,1984,0,-0.2,0.9,3,-0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheikh Samb,1984,,,,3,-0.2,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shannon Brown,1985,7,-0.2,0.1,7,-0.5,-0.5,7,-0.1,0.7,5,0.3,3.4,8,0.1,3.1,5,0.2,1.6,8,0.0,1.2,7,-0.3,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lorenzen Wright,1975,,,,,,,,,,,,,,,,,,,4,-0.2,2.5,4,0.3,3.2,4,0.8,5.2,4,0.3,3.7,0,-0.2,0.7,3,-0.2,0.0,3.0,-0.1,-0.1,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Tolliver,1985,3,-0.1,0.0,5,0.6,2.5,5,0.8,3.3,5,0.1,0.9,5,-0.3,1.2,5,0.8,3.2,5,0.5,2.7,5,0.7,2.8,5,0.5,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billy Thomas,1975,7,-0.1,0.4,7,0.1,0.2,,,,7,-0.1,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kirk Haston,1979,,,,3,-0.2,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jarvis Varnado,1988,3,-0.1,-0.1,0,0.1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cedric Simmons,1986,3,-0.3,0.3,3,-0.2,-0.2,3,-0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mengke Bateer,1975,,,,3,-0.1,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mamadou N'Diaye,1975,,,,,,,0,-0.1,0.6,0,-0.5,0.8,3,0.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubert Davis,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,-0.1,0.5,3,-0.1,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dexter Pittman,1988,,,,0,-0.2,0.6,3,-0.1,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrel Harris,1987,7,-0.1,0.1,3,-0.3,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikoloz Tskitishvili,1983,7,-1.1,-1.0,3,-0.5,-0.1,3,-0.3,-0.5,3,-0.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cedric Jackson,1986,3,-0.1,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shandon Anderson,1973,,,,,,,,,,,,,,,,,,,8,0.5,2.7,8,0.1,1.7,5,0.3,2.1,7,-0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shelvin Mack,1990,7,-0.4,0.7,7,-0.2,0.5,8,-0.1,2.3,7,-0.2,1.3,8,0.2,1.3,5,0.1,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darnell Jackson,1985,3,-0.2,0.8,3,-0.2,-0.3,0,-0.3,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke Jackson,1981,,,,7,-0.2,0.0,7,0.0,0.1,7,-0.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominic McGuire,1985,3,-0.2,0.0,4,0.8,1.7,3,-0.4,-0.2,0,-0.1,0.9,0,0.4,1.5,3,0.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roger Mason,1980,7,-0.1,0.1,7,-0.3,0.1,,,,,,,7,-0.5,-0.1,2,0.5,3.4,2,1.0,4.7,5,0.1,1.9,7,-0.2,0.2,5,-0.2,0.9,5,0.1,1.4,7,-0.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Archibald,1980,3,-0.2,-0.2,3,-0.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
