Change,Regressions,Improvements,Total,Improvement Change %
"(6, 4)",98.0,109.0,207.0,52.65700483091788
"(6, 0)",34.0,17.0,51.0,33.33333333333333
"(4, 0)",150.0,55.0,205.0,26.82926829268293
"(4, 3)",46.0,30.0,76.0,39.473684210526315
"(0, 3)",59.0,45.0,104.0,43.269230769230774
"(5, 8)",18.0,30.0,48.0,62.5
"(8, 7)",77.0,30.0,107.0,28.037383177570092
"(7, 3)",10.0,11.0,21.0,52.38095238095239
"(5, 7)",218.0,79.0,297.0,26.599326599326602
"(8, 5)",45.0,34.0,79.0,43.037974683544306
"(3, 0)",14.0,73.0,87.0,83.9080459770115
"(2, 5)",195.0,40.0,235.0,17.02127659574468
"(7, 5)",46.0,209.0,255.0,81.96078431372548
"(0, 4)",35.0,145.0,180.0,80.55555555555556
"(0, 5)",14.0,32.0,46.0,69.56521739130434
"(8, 2)",10.0,33.0,43.0,76.74418604651163
"(5, 3)",26.0,9.0,35.0,25.71428571428571
"(7, 8)",16.0,71.0,87.0,81.60919540229885
"(0, 6)",11.0,33.0,44.0,75.0
"(2, 7)",35.0,5.0,40.0,12.5
"(4, 5)",15.0,18.0,33.0,54.54545454545454
"(8, 1)",45.0,78.0,123.0,63.41463414634146
"(1, 8)",78.0,52.0,130.0,40.0
"(2, 8)",32.0,15.0,47.0,31.914893617021278
"(0, 7)",18.0,66.0,84.0,78.57142857142857
"(3, 4)",37.0,60.0,97.0,61.855670103092784
"(5, 0)",34.0,14.0,48.0,29.166666666666668
"(3, 5)",2.0,30.0,32.0,93.75
"(2, 3)",8.0,0.0,8.0,0.0
"(4, 8)",3.0,7.0,10.0,70.0
"(5, 2)",32.0,205.0,237.0,86.49789029535864
"(3, 7)",7.0,12.0,19.0,63.1578947368421
"(1, 2)",37.0,15.0,52.0,28.846153846153843
"(8, 3)",69.0,12.0,81.0,14.814814814814813
"(4, 6)",107.0,120.0,227.0,52.863436123348016
"(1, 7)",9.0,0.0,9.0,0.0
"(1, 5)",17.0,4.0,21.0,19.047619047619047
"(6, 3)",21.0,71.0,92.0,77.17391304347827
"(7, 2)",5.0,27.0,32.0,84.375
"(6, 1)",7.0,21.0,28.0,75.0
"(6, 2)",10.0,4.0,14.0,28.57142857142857
"(2, 4)",7.0,4.0,11.0,36.36363636363637
"(1, 4)",109.0,22.0,131.0,16.793893129770993
"(2, 1)",15.0,36.0,51.0,70.58823529411765
"(4, 2)",11.0,22.0,33.0,66.66666666666666
"(6, 5)",4.0,1.0,5.0,20.0
"(2, 6)",2.0,6.0,8.0,75.0
"(4, 7)",11.0,3.0,14.0,21.428571428571427
"(8, 0)",1.0,1.0,2.0,50.0
"(2, 0)",4.0,0.0,4.0,0.0
"(0, 8)",1.0,1.0,2.0,50.0
"(1, 6)",25.0,6.0,31.0,19.35483870967742
"(5, 4)",16.0,19.0,35.0,54.285714285714285
"(7, 0)",55.0,46.0,101.0,45.54455445544555
"(3, 6)",83.0,34.0,117.0,29.059829059829063
"(7, 4)",6.0,13.0,19.0,68.42105263157895
"(3, 1)",10.0,37.0,47.0,78.72340425531915
"(1, 3)",30.0,11.0,41.0,26.82926829268293
"(7, 6)",9.0,3.0,12.0,25.0
"(1, 0)",6.0,1.0,7.0,14.285714285714285
"(4, 1)",21.0,117.0,138.0,84.78260869565217
"(8, 6)",8.0,2.0,10.0,20.0
"(8, 4)",11.0,4.0,15.0,26.666666666666668
"(5, 1)",10.0,28.0,38.0,73.68421052631578
"(5, 6)",4.0,1.0,5.0,20.0
"(3, 8)",8.0,58.0,66.0,87.87878787878788
"(3, 2)",0.0,4.0,4.0,100.0
"(0, 2)",0.0,4.0,4.0,100.0
"(7, 1)",0.0,4.0,4.0,100.0
"(0, 1)",0.0,2.0,2.0,100.0
"(6, 7)",0.0,8.0,8.0,100.0
"(6, 8)",0.0,2.0,2.0,100.0
